State,District,Latitude,Longitude,District code,Population,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Sex_Ratio,Litercay_Rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,856350,626997,2399901,275970,15422,1377,25510,617,322,999.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,1338474,972486,3599372,443456,20463,932,341,1417,309,1024.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,1484794,1183084,3737588,397870,24129,867,253,1322,358,1003.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,1716933,1571644,4983330,77777,77825,738,413,4149,403,994.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,1634726,1325715,4217597,559770,89763,764,323,3282,332,997.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,1542688,1349467,2046051,1713405,87522,11446,1268,19560,1929,1049.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,1257238,949591,3491139,244723,24979,2086,332,312,115,992.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,901640,728594,2595321,158887,33463,655,217,459,539,989.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,1598959,1410759,4023678,307043,145598,1393,863,6320,906,1008.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,1246369,880792,3328380,670737,33165,737,255,2235,434,1012.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,1158386,782260,3673456,334172,21345,658,290,388,267,1024.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,953406,683731,2637313,342449,34301,1309,554,457,217,1008.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,1160757,840262,3249231,188646,35025,937,241,250,132,1018.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,790214,599596,2123426,391596,19653,2357,1847,542,146,962.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,1107686,796749,3150195,220654,18775,266,97,204,206,1019.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,857824,637557,2666950,9025,18879,193,77,160,106,986.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,707503,530885,2299129,16423,17853,380,114,815,183,982.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,1179790,885233,3273755,197333,31377,1453,253,569,126,1003.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,1379223,1273166,3733191,86142,109120,288,209,1578,211,996.0,67.0
Arunachal Pradesh,Changlang,27.360484793388455,96.37552644628106,253,148226,44027,29147,47683,2134,35969,94,50381,95,11738,1080.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,21599,16850,12333,652,37136,36,452,23,27868,971.0,49.0
Arunachal Pradesh,East Siang,28.153823529411756,95.06499226006191,251,99214,34210,28366,27854,2289,18254,69,776,30,49393,1021.0,63.0
Arunachal Pradesh,Kurung Kumey,28.048533518005534,93.24531994459834,256,92076,20258,16348,4859,471,51189,43,121,81,34158,969.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,48380,34682,99020,3846,10684,210,24452,104,7277,1097.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,18087,13762,28915,2247,9213,33,2932,19,10393,1078.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,29470,24587,9551,1482,34402,27,193,13,37085,1016.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,65794,55254,57027,6148,84397,310,4768,139,22586,1020.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,17720,8353,11842,787,776,1164,34920,72,349,1400.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,29313,18661,20682,1103,83361,61,778,43,5325,1059.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,10723,7472,5261,411,5643,27,2577,7,20967,1125.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,24807,20471,13474,521,8779,28,297,11,59449,1002.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,29566,18926,31265,1970,8466,328,36087,71,5556,1221.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,36777,27969,15881,2218,29969,577,3311,49,60005,1075.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,499038,398020,492966,1198036,1020,112,49,399,14,1049.0,53.0
Assam,Bongaigaon,26.450125219941334,90.6734296187684,319,738804,237114,196964,359145,371033,5924,384,236,871,9,1035.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,639946,534182,1038985,654816,37635,280,341,1673,98,1042.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,268666,218373,327322,597392,1688,431,57,724,19,1049.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,237761,185267,655052,13475,8711,297,911,167,6315,1049.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,491361,393170,1198401,64526,52968,2261,4673,1055,46,1041.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,304302,259275,347878,579929,77862,771,194,477,103,1037.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,396475,325289,917426,90312,50582,1131,3863,530,1347,1037.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,226836,180530,251194,397653,8480,84,490,247,636,1051.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,432335,362594,1008219,54684,21051,1540,2378,719,578,1040.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,550219,445100,877495,601784,33297,319,185,1330,55,1053.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,314253,242961,766000,20290,157789,370,6260,397,3568,1052.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,435942,359355,521962,692489,11990,114,446,524,110,1038.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,275220,214085,529068,252271,101091,93,1718,396,123,1043.0,55.0
Assam,Lakhimpur,27.141288059701495,94.0775949253732,307,1042137,375552,307934,797130,193476,46217,412,1074,250,2410,1034.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,921850,788866,1225246,1563203,26844,3036,1073,1162,61,1039.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,293184,238587,491582,277488,429,62,27,1004,9,1054.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,620525,488047,1422824,350536,138166,1363,5088,1003,221,1046.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,453449,344873,1181347,48373,76877,1999,16228,837,395,1050.0,60.0
